Trajectory Recorded at ,Fri Dec 18 17:07:18 2020,Duration: 62.1581s

Time Stamp,Time Stamp,Position,Position,Position,Position,Position,Position,Velocity,Velocity,Velocity,Velocity,Velocity,Velocity,Extra Data,Extra Data
seconds,nseconds,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,name,value
1608307639,43331165,0.964458,-1.78789,-1.63462,0.300014,1.63284,0.157751,0,-0,-0,0,0,-7.30279e-31,,0
1608307639,45327829,0.964446,-1.78794,-1.6346,0.300026,1.63287,0.157775,0,-0,-0,0,0,-7.12504e-33,,0
1608307639,47323632,0.964434,-1.78795,-1.63459,0.300002,1.63283,0.157751,0,-0,-0,0,0,-6.95162e-35,,0
1608307639,49356650,0.964458,-1.78791,-1.63458,0.300002,1.63284,0.157799,0,-0,-0,0,0,-6.78242e-37,,0
1608307639,51402683,0.964434,-1.78795,-1.63459,0.300002,1.63284,0.157751,0,-0,-0,0,0,-6.61734e-39,,0
1608307639,53344556,0.96441,-1.78792,-1.6346,0.300014,1.63284,0.157775,0,-0,-0,0,0,-6.45634e-41,,0
1608307639,55341040,0.964422,-1.78794,-1.63458,0.300026,1.63281,0.157775,0,-0,-0,0,0,-6.30584e-43,,0
1608307639,57341196,0.964446,-1.78792,-1.63459,0.299978,1.63286,0.157763,0,-0,-0,0,0,-5.60519e-45,,0
1608307639,59342429,0.964458,-1.78792,-1.63459,0.300014,1.63283,0.157715,0,-0,-0,0,0,-0,,0
1608307639,61316641,0.96441,-1.78796,-1.6346,0.300002,1.63286,0.157715,0,-0,-0,0,0,0,,0
1608307639,63325539,0.964446,-1.78793,-1.63458,0.300026,1.63282,0.157739,0,-0,-0,0,0,0,,0
1608307639,65326764,0.964434,-1.78792,-1.6346,0.300026,1.63287,0.157763,0,-0,-0,0,0,0,,0
1608307639,67317895,0.964458,-1.78788,-1.6346,0.300002,1.63287,0.157775,0,-0,-0,0,0,0,,0
1608307639,69324841,0.964422,-1.78793,-1.63463,0.299978,1.63286,0.157715,0,-0,-0,0,0,0,,0
1608307639,71319738,0.96441,-1.78788,-1.63458,0.300014,1.63284,0.157763,0,-0,-0,0,0,0,,0
1608307639,73327075,0.96441,-1.78788,-1.63463,0.300026,1.63286,0.157787,0,-0,-0,0,0,0,,0
1608307639,75326754,0.96441,-1.78789,-1.63458,0.29999,1.63287,0.157763,0,-0,-0,0,0,0,,0
1608307639,77329024,0.964422,-1.78791,-1.63459,0.300002,1.63287,0.157763,0,-0,-0,0,0,0,,0
1608307639,79332143,0.964386,-1.78792,-1.63458,0.300002,1.63287,0.157715,0,-0,-0,0,0,0,,0
1608307639,81347249,0.964422,-1.78789,-1.63458,0.29999,1.63283,0.157763,0,-0,-0,0,0,0,,0
1608307639,83345393,0.96441,-1.78792,-1.63459,0.299978,1.63287,0.157739,0,-0,-0,0,0,0,,0
1608307639,85332924,0.96441,-1.78789,-1.63459,0.300002,1.63287,0.157751,0,-0,-0,0,0,0,,0
1608307639,87340645,0.964398,-1.78791,-1.63463,0.300014,1.63287,0.157775,0,-0,-0,0,0,0,,0
1608307639,89330563,0.964398,-1.78788,-1.63458,0.300026,1.63287,0.157739,0,-0,-0,0,0,0,,0
1608307639,91339116,0.96441,-1.78792,-1.63458,0.299978,1.63283,0.157787,0,-0,-0,0,0,0,,0
